speaker,occupation,about_speaker,language
Brian Little,{0: ['personality researcher']},{0: 'Cambridge research professor Brian Little analyzes and redefines the threads of our personalities -- and suggests ways we can transform ourselves.'},en
Tom Hulme,"{0: ['designer', 'venturer']}","{0: ""Tom Hulme's enthusiasm spans physics, design, entrepreneurship and investment.""}",en
Wanda Diaz Merced,{0: ['sonic astrophysicist']},"{0: 'While searching for ways to study stellar radiation without relying on sight, Wanda Diaz Merced has developed a way to represent complex data about our universe as sound.'}",en
Blaise Agüera y Arcas,{0: ['software architect']},"{0: 'Blaise Agüera y Arcas works on machine learning at Google. Previously a Distinguished Engineer at Microsoft, he has worked on augmented reality, mapping, wearable computing and natural user interfaces.'}",en
Julia Galef,{0: ['writer']},{0: 'Julia Galef investigates how and why people change their minds.'},en
Prosanta Chakrabarty,{0: ['ichthyologist']},{0: 'Prosanta Chakrabarty studies fish to help explain the evolution of human beings and our planet. '},en
John Legend,"{0: ['singer', 'musician', 'composer']}","{0: 'With his philanthropic work, John Legend is leveraging his stardom to raise social consciousness and make a positive impact on a global scale. '}",en
Marwa Al-Sabouni,{0: ['architect']},"{0: ""Marwa Al-Sabouni suggests that architecture played a crucial role in the slow unraveling of Syrian cities' social fabric, preparing the way for once-friendly groups to become enemies instead of neighbors.""}",en
Alexander Betts,{0: ['social scientist']},{0: 'Alexander Betts explores ways societies might empower refugees rather than pushing them to the margins.'},en
Safwat Saleem,"{0: ['artist', 'graphic designer', 'filmmaker']}",{0: 'Safwat Saleem uses satire and art to bring to light stories of adversity.'},en
Elise Roy,"{0: ['lawyer', 'artist', 'human rights advocate']}",{0: 'Elise Roy thinks that designers have the capacity and responsibility to address and resolve human problems on micro and macro scales and contribute to social well-being.'},en
Leila Hoteit,"{0: [""women's advocate""]}","{0: ""BCG's Leila Hoteit specializes in human capital and education throughout the Middle East.""}",en
Emma Marris,{0: ['environmental writer']},"{0: 'Emma Marris is a writer focusing on environmental science, policy and culture, with an approach that she paints as being ""more interested in finding and describing solutions than delineating problems, and more interested in joy than despair.""'}",en
Shubhendu Sharma,{0: ['eco-entrepreneur']},"{0: 'Shubhendu Sharma creates afforestation methods that make it easy to plant maintenance-free, wild and biodiverse forests.'}",en
Adam Savage,"{0: ['maker', 'critical thinker']}","{0: 'Adam Savage is an internationally renowned television producer, host and public speaker.'}",en
Lisa Dyson,{0: ['sustainability crusader']},{0: 'Lisa Dyson thinks a new class of crops might help us reinvent agriculture -- and feed the world.'},en
eL Seed,{0: ['artist']},"{0: 'French-Tunisian artist eL Seed blends the historic art of Arabic calligraphy with graffti to portray messages of beauty, poetry and peace across all continents.'}",en
Gerard Ryle,{0: ['investigative journalist']},"{0: 'As director of the International Consortium of Investigative Journalists, Gerard Ryle is one of the key figures behind the Panama Papers.'}",en
Ed Boyden,{0: ['neuroengineer']},{0: 'Ed Boyden is a professor of biological engineering and brain and cognitive sciences at the MIT Media Lab and the MIT McGovern Institute.'},en
Suzanne Simard,{0: ['forest ecologist']},"{0: 'Suzanne Simard studies the complex, symbiotic networks in our forests.'}",en
Anthony Goldbloom,{0: ['machine learning expert']},{0: 'Anthony Goldbloom crowdsources solutions to difficult problems using machine learning.'},en
Martin Reeves,{0: ['strategist']},"{0: ""BCG's Martin Reeves consults on strategy to global enterprises across a range of industries. ""}",en
Molly Winter,{0: ['designer']},{0: 'Molly Winter works on legalizing sustainable building practices.'},en
Ngozi Okonjo-Iweala,{0: ['economist']},{0: 'Ngozi Okonjo-Iweala is a respected global economist.'},en
Dave Brain,{0: ['planetary scientist']},{0: 'Dave Brain studies the plasma environments and atmospheres of unmagnetized planets.'},en
Monica Araya,{0: ['climate advocate']},"{0: ""In 2015 Monica Araya's native Costa Rica produced almost all of its electricity from renewable sources. She advocates for the next step: a fossil-fuel-free world.""}",en
James Green,{0: ['space physicist']},"{0: ""James Green leads NASA's solar system exploration and astrobiology research.""}",en
Sarah Parcak,{0: ['satellite archaeologist + ted prize winner']},"{0: 'Like a modern-day Indiana Jones, Sarah Parcak uses satellite images to locate lost ancient sites. The winner of the 2016 TED Prize, her wish is to protect the world’s shared cultural heritage.'}",en
Anand Giridharadas,{0: ['writer']},{0: 'Anand Giridharadas writes about people and cultures caught amid the great forces of our time.'},en
Gonzalo Vilariño,"{0: ['lawyer', 'coach']}",{0: 'Gonzalo Vilariño uses sport to change the rules of the game for the disabled.'},es
Olivier Scalabre,{0: ['industrial systems thinker']},"{0: ""BCG's Olivier Scalabre analyzes the evolution of large industrial companies' manufacturing footprint and operations. ""}",en
Timothy Ihrig,{0: ['palliative care physician']},"{0: ""Timothy Ihrig advocates for an approach to healthcare that prioritizes a patient's personal values.""}",en
Laura Boushnak,{0: ['photographer']},"{0: 'Laura Boushnak is a Kuwaiti-born Palestinian photographer whose work focuses on women, literacy and education reform in the Arab world. '}",en
Don Tapscott,{0: ['digital strategist']},"{0: 'Don Tapscott, Executive Chairman of the Blockchain Research Institute, is one of the world’s leading authorities on the impact of technology in business and society. He has authored 16 books, including ""Wikinomics: How Mass Collaboration Changes Everything,"" which has been translated into over 25 languages'}",en
Vanessa Ruiz,{0: ['anatomical artist']},{0: 'Vanessa Ruiz documents the intersection of medical illustration and contemporary art.'},en
Julia Bacha,{0: ['filmmaker']},"{0: 'Julia Bacha is the creative director at Just Vision, an organization that uses film and multimedia storytelling to foster constructive conversations on some of the most divisive issues of our times.'}",en
Christopher Bell,{0: ['media studies scholar']},"{0: 'Dr. Christopher Bell specializes in the study of popular culture, focusing on the ways in which race, class and gender intersect in different forms of media.'}",en
Kio Stark,{0: ['stranger enthusiast']},{0: 'Kio Stark explores the myriad ways encounters with strangers impact our lives.'},en
Jonathan Tepperman,{0: ['global affairs thinker']},"{0: ""Jonathan Tepperman writes on the world's most pervasive and seemingly intractable challenges.""}",en
James Veitch,{0: ['comedian and writer']},"{0: 'For James Veitch, a British writer and comedian with a mischievous side, spam emails proved the perfect opening to have some fun, playing the scammers at their own game.'}",en
Sal Khan,{0: ['educator and social entrepreneur']},"{0: 'In 2004, Sal Khan, a hedge fund analyst, began making math tutorials for his cousins. Twelve years later, Khan Academy has more than 42 million registered users from 190 countries, with tutorials on subjects from basic math through economics, art history, computer science, health, medicine and more.'}",en
Courtney E. Martin,{0: ['journalist']},{0: 'Courtney E. Martin’s work has two obsessions at its core: storytelling and solutions. '},en
David Camarillo,{0: ['bioengineer']},"{0: ""David Camarillo's research focuses on understanding and preventing traumatic brain injury.""}",en
Franz Freudenthal,{0: ['pediatric cardiologist']},"{0: 'With his unique inventions (including a device knitted from threads of high-tech alloy by indigenous craftswomen), Franz Freudenthal saves children from congenital heart defects.'}",en
Neha Narula,{0: ['currency futurist']},{0: 'Neha Narula is helping redefine the future of money by researching cryptocurrencies and providing clarity on how digital currencies will transform our world.'},en
Julie Lythcott-Haims,"{0: ['academic', 'author']}","{0: 'Julie Lythcott-Haims speaks and writes on the phenomenon of helicopter parenting and the dangers of a checklisted childhood -- the subject of her book, ""How to Raise an Adult.""'}",en
Michael Shellenberger,{0: ['climate policy expert']},"{0: 'Michael Shellenberger is a global thinker on energy, technology and the environment.'}",en
Michael Murphy,{0: ['designer']},"{0: 'As co-founder and CEO of MASS Design Group, Michael Murphy envisions and creates  community-centric structures with healing built into their core.'}",en
Abigail Marsh,{0: ['psychologist']},"{0: 'Abigail Marsh asks essential questions: If humans are evil, why do we sometimes go to extraordinary lengths to help others even at a cost to ourselves?'}",en
Eric Liu,"{0: ['civic evangelist', 'author']}","{0: 'As CEO of Citizen University, Eric Liu is working to spark a civic revival in the US and beyond.'}",en
David Burkus,{0: ['management researcher']},{0: 'David Burkus challenges the traditional and widely accepted principles of business management.'},en
Nadia Lopez,{0: ['educator']},"{0: 'Nadia Lopez is the founding principal of Mott Hall Bridges Academy, where she is showing the world how underprivileged communities can beat the odds and create positive institutions that have a global impact.'}",en
Sebastian Kraves,{0: ['biotech entrepreneur']},{0: 'Sebastian Kraves wants to bring DNA science to more people in new places.'},en
Rebecca MacKinnon,{0: ['internet freedom activist']},"{0: 'Rebecca MacKinnon looks at issues of free expression, governance and democracy (or lack of) in the digital networks, platforms and services on which we are all more and more dependent.'}",en
J.D. Vance,{0: ['author']},{0: 'Former Marine and Yale Law School graduate J.D. Vance writes about how upward mobility really feels.'},en
Camille A. Brown,"{0: ['director', 'choreographer', 'educator']}","{0: 'Camille A. Brown leads her dance company through excavations of ancestral stories, both timeless and traditional, that connect history with contemporary culture.'}",en
Oded Shoseyov,{0: ['nanobiotechnologist']},"{0: 'Oded Shoseyov’s researches plant molecular biology protein engineering and nanobiotechnology, creating super-performing materials that are could change the way we build our future products.'}",en
Sam Harris,"{0: ['neuroscientist', 'philosopher']}","{0: ""Sam Harris's work focuses on how our growing understanding of ourselves and the world is changing our sense of how we should live.""}",en
Helen Fisher,"{0: ['anthropologist', 'expert on love']}",{0: 'Anthropologist Helen Fisher studies gender differences and the evolution of human emotions. She’s best known as an expert on romantic love.'},en
Ellen Jorgensen,"{0: ['biologist', 'community science advocate']}","{0: 'Ellen Jorgensen is at the leading edge of the do-it-yourself biotechnology movement, bringing scientific exploration and understanding to the public.'}",en
Sayu Bhojwani,{0: ['immigration scholar']},{0: 'Sayu Bhojwani recruits and supports first and second generation Americans to run for public office. '},en
Adam de la Zerda,"{0: ['biologist', 'electrical engineer']}",{0: 'Adam de la Zerda develops new medical imaging technologies to detect and destroy cancer.'},en
Isaac Lidsky,"{0: ['author', 'entrepreneur']}",{0: 'Isaac Lidsky has a very eclectic resume. '},en
Rainn Wilson,"{0: ['actor', 'writer']}","{0: 'Rainn Wilson is an actor, writer and co-creator of media and production company SoulPancake.'}",en
John McWhorter,{0: ['linguist']},"{0: 'Linguist John McWhorter thinks about language in relation to race, politics and our shared cultural history.'}",en
Ione Wells,"{0: ['writer', 'activist']}",{0: 'University student Ione Wells is the founder of the international #NotGuilty campaign against sexual violence and misdirected victim blaming.'},en
Pico Iyer,{0: ['author']},"{0: 'Novelist and nonfiction author Pico Iyer writes on subjects ranging from the Cuban Revolution to Islamic mysticism, from Graham Greene to forgotten nations and the 21st-century global order.'}",en
Melissa Walker,{0: ['creative arts therapist']},{0: 'Melissa Walker helps military service members recover from traumatic brain injury and mental illness.'},en
Jim Hemerling,{0: ['organizational change expert']},"{0: ""BCG's Jim Hemerling practices smart ways to deal with, and even grow from, the unavoidable and accelerating transformations taking place at work.""}",en
Trevor Copp,"{0: ['artistic director'], 1: ['dancer']}","{0: 'Trevor Copp is known for innovative social justice theater that blends physicality, image and narrative.', 1: 'Jeff Fox is a professional dancer, competitor, choreographer who has won professional titles in American Smooth, Rhythm, Theatre Arts and Showdance.'}",en
Rachel Botsman,{0: ['trust researcher']},"{0: 'Rachel Botsman is a recognized expert on how collaboration and trust enabled by digital technologies will change the way we live, work, bank and consume.'}",en
Todd Coleman,{0: ['bioelectronics innovator']},"{0: 'UCSD bioengineering professor Todd Coleman integratively spans the disciplines of medical electronics, machine learning and public health.'}",en
Zeynep Tufekci,{0: ['techno-sociologist']},"{0: 'Techno-sociologist Zeynep Tufekci asks big questions about our societies and our lives, as both algorithms and digital connectivity spread.'}",en
Manwar Ali,{0: ['peace activist']},"{0: 'A former committed pioneer of violent jihad, Manwar Ali draws on his experience and deepening understanding of Islam to prevent radicalisation and extremism.'}",en
Philippa Neave,{0: ['electoral consultant']},"{0: ""Philippa Neave is senior advisor on the UN's Lexicon of Electoral Terminology.""}",en
Wanis Kabbaj,"{0: ['global citizen', 'transportation geek']}","{0: ""UPS's Wanis Kabbaj seeks new ways of understanding the growing complexity of our congested cities and globalized world.""}",en
Ian Bremmer,{0: ['political theorist']},"{0: 'Ian Bremmer is the president and founder of Eurasia Group, a political risk research and consulting firm.'}",en
Alyssa Monks,{0: ['painter']},{0: 'Alyssa Monks transfers the intimacy and vulnerability of human experience onto a painted surface.'},en
Tasos Frantzolas,{0: ['entrepreneur']},{0: 'Tasos Frantzolas lives and creates at the intersection of audio and technology.'},en
Kelli Jean Drinkwater,"{0: ['artist', 'activist']}",{0: 'Kelli Jean Drinkwater is a multi-disciplinary artist and activist recognized for her creative practice and voice in radical body politics.'},en
 Silk Road Ensemble,"{0: ['musical explorers'], 1: ['musician']}","{0: 'With a repertoire spanning classical, improvisational and folk traditions from around the globe, the Silk Road Ensemble spins sounds that celebrate cultural solidarity.', 1: 'With a rich voice and an equally rich sense of history, Rhiannon Giddens animates American folk tradition with her electrifying song interpretations.'}",en
Christopher Soghoian,{0: ['privacy researcher and activist']},"{0: 'Christopher Soghoian researches and exposes the high-tech surveillance tools that governments use to spy on their own citizens, and he is a champion of digital privacy rights.\r\n'}",en
Kandice Sumner,{0: ['educator']},"{0: 'Kandice Sumner thinks we\'ve been looking at the ""achievement gap"" in education all wrong.'}",en
Mallory Freeman,{0: ['data activist']},"{0: ""UPS's advanced analytics manager Mallory Freeman researches how to do the most good with data.""}",en
Tim Leberecht,{0: ['business romantic']},"{0: 'A humanist in Silicon Valley, Tim Leberecht argues that in a time of artificial intelligence, big data and the quantification of everything, we are losing sight of the importance of the emotional and social aspects of our work.'}",en
Halla Tómasdóttir,{0: ['change catalyst']},"{0: 'Halla Tómasdóttir is the CEO of The B Team, a group of global leaders working together to transform business for a better world.'}",en
Amanda Palmer,"{0: ['musician', 'blogger'], 1: ['composer', 'musician'], 2: ['artist', 'composer']}","{0: ""Alt-rock icon Amanda Fucking Palmer believes we shouldn't fight the fact that digital content is freely shareable -- and suggests that artists can and should be directly supported by fans."", 1: 'Jherek Bischoff is a Los Angeles-based composer, arranger, producer and multi-instrumental performer.', 2: 'TED Senior Fellow Usman Riaz is an artist and composer.'}",en
Suzanne Barakat,{0: ['physician']},"{0: 'With a voice amplified by unthinkable personal tragedy, Suzanne Barakat speaks out against bigotry and violence against those society deems ""different.""'}",en
Jonathan Haidt,"{0: ['social psychologist'], 1: ['head of ted']}","{0: 'Jonathan Haidt studies how -- and why -- we evolved to be moral and political creatures.', 1: 'After a long career in journalism and publishing, Chris Anderson became the curator of the TED Conference in 2002 and has developed it as a platform for identifying and disseminating ideas worth spreading.'}",en
Fawn Qiu,{0: ['technologist']},{0: 'Fawn Qiu is a multi-disciplinary technologist who introduces the creative side of engineering through playful projects.'},en
Hector Garcia,{0: ['psychologist']},{0: 'Hector A. Garcia has spent his career as a frontline psychologist delivering evidence-based psychotherapies to veterans with posttraumatic stress disorder (PTSD).'},en
Kimberlé Crenshaw,"{0: ['civil rights advocate'], 1: ['artist']}","{0: 'As a pioneer in critical race theory, Kimberlé Crenshaw helped open the discussion of the double bind faced by victims of simultaneous racial and gender prejudice.', 1: 'Passionate about using music as a tool for empathy cultivation, Abby Dobson creates music to inspire audiences to reflect on the world we live in and engage in action to promote transformative social change. '}",en
Bettina Warburg,{0: ['blockchain entrepreneur and researcher']},"{0: 'Bettina Warburg is a blockchain researcher, entrepreneur and educator. A political scientist by training, she has a deep passion for the intersection of politics and technology.'}",en
Steven Johnson,{0: ['writer']},"{0: 'Steven Berlin Johnson examines the intersection of science, technology and personal experience.'}",en
Victor Rios,"{0: ['educator', 'author']}","{0: 'Victor Rios seeks to uncover how to best support the lives of young people who experience poverty, stigma and social exclusion. '}",en
Roger Antonsen,"{0: ['logician', 'mathematician', 'computer scientist']}","{0: 'Roger Antonsen combines science, mathematics and computer science with entertainment, philosophy and visualizations.'}",en
Sandi Toksvig,"{0: ['broadcast personality', 'politician', 'author']}","{0: 'Long revered in the UK for her wit and candor, Sandi Toksvig is now lending her familiar voice to a greater cause -- equality for women.'}",en
Juan Enriquez,"{0: ['author', 'academic', 'futurist']}","{0: 'Juan Enriquez thinks and writes about the profound changes that genomics and brain research will bring about in business, technology, politics and society.'}",en
Adam Galinsky,{0: ['social psychologist']},"{0: 'Adam Galinsky teaches people all over the world how to inspire others, speak up effectively, lead teams and negotiate successfully.'}",en
Joe Lassiter,{0: ['energy scholar']},"{0: 'Joe Lassiter focuses on one of the world’s most pressing problems: developing clean, secure and carbon-neutral supplies of reliable, low-cost energy all around the world.'}",en
Alicia Garza,"{0: ['writer', 'activist'], 1: ['artist', 'organizer'], 2: ['human rights activist'], 3: ['family activist']}","{0: 'Alicia Garza launched a global movement with a single Facebook post that ended with the words: “Black lives matter.”', 1: 'Activist Patrisse Cullors created the hashtag #BlackLivesMatter as a tonic against years of injustice by police forces and prisons. ', 2: 'By taking the phrase ""Black Lives Matter"" onto social media, Opal Tometi helped turn a hashtag into a networked movement. ', 3: 'Mia Birdsong advocates for strong communities and the self-determination of everyday people.\r\n'}",en
Danny Dorling,{0: ['social geographer']},{0: 'Danny Dorling teaches and writes about the geography of our human world.'},en
Ryan Gravel,"{0: ['urban planner', 'designer', 'author']}",{0: 'Ryan Gravel is an architect and urban planner who played a key role in developing the Atlanta BeltLine.  '},en
Kate Adams,{0: ['digital storyteller']},{0: 'Kate Adams spends her days dissecting digital communications to find a better way to tell brand stories and connect with customers.'},en
Tiq Milan,"{0: ['transgender activist'], 1: ['writer', 'educator', 'artist']}","{0: 'Already a tireless advocate for positive and honest portrayals of LGBTQ people in media, Tiq Milan now evangelizes for the unifying power of love.', 1: 'Through her art and writing, Kim Katrin Milan advocates for queer, trans and feminist issues. Now she’s using her own love story to help bridge communities.'}",en
Natalie Panek,"{0: ['rocket scientist', 'explorer']}","{0: ""Natalie Panek's work is focused on the idea that accountability for our environments never goes away.""}",en
Jia Jiang,"{0: ['author', 'blogger', 'entrepreneur']}","{0: ""Jia Jiang's journey through rejection revealed a world hidden in plain sight, where people are much kinder than we imagine.""}",en
Elizabeth Lesser,{0: ['wellness specialist']},"{0: ""Elizabeth Lesser helps her readers and students transform their lives after brushes with pain, adversity and life's myriad problems.""}",en
Veerle Provoost,{0: ['bioethicist']},{0: 'Veerle Provoost studies genetic and social parenthood in the context of donor conception.'},en
Kevin B. Jones,{0: ['cancer researcher']},"{0: 'Kevin B. Jones is a life-long student of human nature, fascinated most by the decision-making capacity intrinsic to each of us.'}",en
Kevin Kelly,{0: ['digital visionary']},"{0: 'There may be no one better to contemplate the meaning of cultural change than Kevin Kelly, whose life story reads like a treatise on the value and impacts of technology.'}",en
Rebecca Brachman,"{0: ['neuroscientist', 'writer', 'entrepreneur']}","{0: 'TED Fellow Dr. Rebecca Brachman is a pioneer in the field of preventative psychopharmacology, developing drugs to enhance stress resilience and prevent mental illness.'}",en
Dena Simmons,{0: ['educator']},{0: 'Dena Simmons believes that creating a safe environment for children is an essential component of education.'},en
Laura Vanderkam,{0: ['author']},"{0: 'Laura Vanderkam shatters the myth that there just isn’t enough time in the week for working professionals to live happy, balanced and productive lives.'}",en
David Autor,{0: ['economist']},"{0: ""David Autor's work assesses the labor market consequences of technological change and globalization.""}",en
Chinaka Hodge,"{0: ['writer', 'educator']}","{0: 'Poet, playwright, filmmaker and educator Chinaka Hodge uses her own life and experiences as the backbone of wildly creative, powerful works.'}",en
Anjali Tripathi,{0: ['astrophysicist']},{0: 'Anjali Tripathi explores planets to uncover the processes that make and destroy them.\r\n'},en
Sharon Brous,{0: ['rabbi']},"{0: 'Rabbi Sharon Brous is a leading voice in reanimating religious life in America, working to develop a spiritual roadmap for soulful, multi-faith justice work.'}",en
James Beacham,{0: ['experimental particle physicist']},"{0: ""James Beacham is an experimental high-energy particle physicist working with the ATLAS collaboration at CERN's Large Hadron Collider.""}",en
Adam Grant,{0: ['organizational psychologist']},"{0: 'After years of studying the dynamics of success and productivity in the workplace, Adam Grant discovered a powerful and often overlooked motivator: helping others.'}",en
Erika Gregory,{0: ['nuclear reformer']},"{0: 'Bringing cross-disciplinary tactics and innovation to a moribund defense industry, N Square’s Erika Gregory seeks to wean the world from its nuclear stockpiles.'}",en
Sam Kass,{0: ['food entrepreneur']},"{0: ""Sam Kass's work connects nutrition and education in an effort to make sure future generations thrive.""}",en
Sofia Jawed-Wessel,{0: ['sex researcher']},"{0: ""Sofia Jawed-Wessel's teachings utilize a sex-positive and pleasure-inclusive approach to providing medically accurate, comprehensive sexuality education.""}",en
Mandy Len Catron,{0: ['writer']},{0: 'Mandy Len Catron explores love stories.'},en
George Tulevski,{0: ['materials scientist']},"{0: ""IBM's George Tulevski wants to use carbon nanotubes to revolutionize microchip design.""}",en
Dan Bricklin,{0: ['software pioneer']},{0: 'Dan Bricklin helped fuel the rapid growth of the personal computer industry.'},en
Alejandro Sánchez Alvarado,{0: ['developmental and regeneration biologist']},{0: 'Alejandro Sánchez Alvarado wants to understand the how and why of tissue regeneration. '},en
Sisonke Msimang,"{0: ['writer', 'activist']}","{0: 'Sisonke Msimang untangles the threads of race, class and gender that run through the fabric of African and global culture.'}",en
Jennifer Brea,{0: ['filmmaker']},"{0: ""Jennifer Brea was a PhD student at Harvard when, one night, she found she couldn't write her own name.""}",en
Ashley Judd,"{0: ['actor', 'activist']}","{0: 'Delivering pointedly frank observations with down-home sincerity, actor Ashley Judd is building a committed activist career on intense personal experience.'}",en
Emily Parsons-Lord,{0: ['artist']},{0: 'Emily Parsons-Lord makes cross-disciplinary contemporary art that is informed by research and critical dialogue with materials and climate science.'},en
Robb Willer,{0: ['social psychologist']},"{0: ""Robb Willer's political research has investigated various topics, including economic inequality, racial prejudice, masculine overcompensation and Americans' views of climate change.""}",en
Paul Knoepfler,{0: ['biologist']},{0: 'Paul Knoepfler is a biomedical scientist and writer focusing on stem cells and genetics.'},en
Jeanne Gang,{0: ['architect']},"{0: 'With an eye for nature’s forms and lessons learned from its materials, Jeanne Gang creates iconic environments that stand in curvy relief to blocky urban cityscapes.'}",en
Caleb Barlow,{0: ['cybercrime fighter']},"{0: ""IBM's Caleb Barlow is focused on how we solve the cyber security problem by changing the economics for the bad guys.""}",en
Deeyah Khan,{0: ['filmmaker']},"{0: ""Deeyah Khan is working to create intercultural dialogue and understanding by confronting the world's most complex and controversial topics.""}",en
Deepika Kurup,"{0: ['inventor', 'student scientist']}","{0: 'Water is the basis of life, and too many people around the world suffer from waterborne illnesses. Deepika Kurup is working to change that.'}",en
Sarah Parcak,{0: ['satellite archaeologist + ted prize winner']},"{0: 'Like a modern-day Indiana Jones, Sarah Parcak uses satellite images to locate lost ancient sites. The winner of the 2016 TED Prize, her wish is to protect the world’s shared cultural heritage.'}",en
Alan Smith,{0: ['data visualisation editor']},{0: 'Alan Smith uses interactive graphics and statistics to breathe new life into how data is presented.'},en
Eduardo Briceño,{0: ['learning expert']},"{0: 'Eduardo Briceño is a learner, leader, speaker and writer devoted to enabling a more learning-oriented world.'}",en
Sue Klebold,{0: ['activist']},{0: 'Sue Klebold has become a passionate agent working to advance mental health awareness and intervention.'},en
Nagin Cox,{0: ['spacecraft operations engineer']},"{0: ""Nagin Cox explores Mars as part of the team that operates NASA's rovers.""}",en
Maurice Conti,"{0: ['designer', 'futurist']}","{0: 'Maurice Conti explores new partnerships between technology, nature and humanity.'}",en
Thordis Elva,"{0: ['writer'], 1: ['co-author', 'landscape gardener']}","{0: 'Thordis Elva is one of the two authors of ""South of Forgiveness,"" a unique collaboration between a survivor and perpetrator of rape.', 1: 'Tom Stranger is the co-author of ""South of Forgiveness.""'}",en
Joshua Smith,{0: ['cancer fighter']},"{0: ""Motivated by his wife's bout with cancer, IBM's Joshua Smith applies his engineering expertise to early diagnosis.""}",en
Jeff Speck,{0: ['urban planner']},"{0: 'Jeff Speck is a city planner and the author of ""Walkable City.""'}",en
Aala El-Khani,{0: ['humanitarian psychologist']},{0: 'Aala El-Khani explores the needs of families affected by war and displacement and the mental health of children who have experienced armed conflict.'},en
Miriam Zoila Pérez,"{0: ['writer', 'activist']}",{0: 'Miriam Zoila Pérez investigates how race and gender affect health -- and the people who create spaces for healing.'},en
Amy Adele Hasinoff,{0: ['communications researcher']},"{0: 'Amy Adele Hasinoff studies gender, sexuality, privacy and consent in new media.'}",en
 Rodrigo y Gabriela,{0: ['guitar duo']},"{0: 'Rodrigo y Gabriela fuse metal, jazz and world music into an exhilarating cocktail of complex arrangements and virtuoso musicianship.'}",en
Lara Setrakian,{0: ['journalist']},{0: 'Lara Setrakian is building innovative news platforms that stand ready to engage and explain the complexity of our world.'},en
Salil Dudani,{0: ['legal activist']},"{0: 'Salil Dudani has experienced the legal system from two vantage points: being detained by D.C. police on suspicion of ""terrorist activity,"" and working as an investigator with civil rights lawyers challenging poverty-jailing.'}",en
Grady Booch,"{0: ['scientist', 'philosopher']}","{0: ""IBM's Grady Booch is shaping the future of cognitive computing by building intelligent systems that can reason and learn.""}",en
Yuval Noah Harari,"{0: ['historian', 'author'], 1: ['head of ted']}","{0: 'In his book ""Homo Deus,"" Yuval Noah Harari explores the future of humankind: the destinies we may set for ourselves and the quests we\'ll undertake.', 1: 'After a long career in journalism and publishing, Chris Anderson became the curator of the TED Conference in 2002 and has developed it as a platform for identifying and disseminating ideas worth spreading.'}",en
Brittney Cooper,{0: ['cultural theorist']},"{0: 'With scholarship and incisive commentary that exposes the marginalized narratives hidden within ""mainstream"" history, Brittney Cooper writes at the vanguard of cultural criticism.'}",en
Jonathan Rossiter,{0: ['roboticist']},"{0: 'Jonathan Rossiter develops soft robotic technologies and turns them into real robots and smart machines for engineers, musicians, doctors and artists. '}",en
Charity Wayua,{0: ['public sector researcher']},"{0: ""IBM's Charity Wayua is a research manager in Nairobi, Kenya, where she leads the company's public sector research team.""}",en
Stacy Smith,{0: ['media researcher']},{0: 'Stacy Smith shows how Hollywood’s homogenous (and overwhelmingly male) culture systematically excludes women and minorities.'},en
Ani Liu,"{0: ['designer', 'artist']}",{0: 'Ani Liu explores the intersection between technology and sensory perception.'},en
Jeff Kirschner,{0: ['entrepreneur']},"{0: ""Jeff Kirschner created a global community that's eradicating litter one piece at a time.""}",en
Lux Narayan,{0: ['entrepreneur']},{0: 'Lux Narayan is a perpetual learner of various things -- from origami and molecular gastronomy to stand-up and improv comedy.'},en
Kathy Hull,{0: ['pediatric psychologist']},{0: 'Kathy Nicholson Hull founded the first freestanding pediatric palliative care center in the US.'},en
Carrie Poppy,"{0: ['writer', 'radio host', 'comedian']}","{0: 'Carrie Poppy tells stories on the fringes of human experience through writing, live storytelling and radio.'}",en
Sara Ramirez,"{0: ['singer', 'songwriter', 'actress'], 1: ['actor', 'singer/songwriter']}","{0: 'Broadway and TV veteran Sara Ramirez challenges stereotypes even as she beguiles audiences.', 1: 'Michael Pemberton is a New York-based actor and singer/songwriter. '}",en
Megan Phelps-Roper,"{0: ['writer', 'activist']}","{0: 'A former member of Westboro Baptist Church, Megan Phelps-Roper is now a writer and educator on topics related to extremism, bullying and empathy in dialogue.'}",en
Caroline Paul,{0: ['author']},"{0: 'Brimming with insights gained on her picaresque journey from firefighter to best-selling author, Caroline Paul’s ""The Gutsy Girl: Escapades for Your Life of Epic Adventure"" is a revolutionary guide for raising brave young women.'}",en
Jude Kelly,"{0: ['theater director', 'producer']}","{0: 'Jude Kelly is artistic director of Southbank Centre, Britain’s largest cultural institution.'}",en
Joy Buolamwini,{0: ['poet of code']},"{0: ""Joy Buolamwini's research explores the intersection of social impact technology and inclusion.""}",en
John Koenig,{0: ['writer']},{0: 'John Koenig is writing an original dictionary of made-up words.'},en
Caitlin Doughty,{0: ['progressive mortician']},{0: 'Caitlin Doughty asks: What if we re-designed the funeral industry for an eco-friendly end of life?'},en
Carrie Nugent,{0: ['asteroid hunter']},"{0: ""Carrie Nugent is part of a team that uses NASA's NEOWISE telescope to search the skies for and catalog asteroids.""}",en
Peggy Orenstein,"{0: ['journalist', 'author']}","{0: 'In her groundbreaking book Girls & Sex, Peggy Orenstein explores the changing landscape of modern sexual expectations and its troubling impact on adolescents and young women.'}",en
Karina Galperin,{0: ['literary scholar']},"{0: 'Karina Galperin studies the culture, language and literature of early modern Iberia.'}",es
Dan Bell,{0: ['filmmaker']},{0: 'Dan Bell films urban decay.'},en
